m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,sh1,sh2,sh3,s1_z,s2_z,s3_z,s4_z,s5_z,s6_z,s1_h,s6_h,n1_z,n2_z,n3_z,n4_z,n5_z,n6_z,n1_h,n2_h,n3_h,n4_h,n5_h,n6_h,d1_z,d2_z,d3_z,d4_z,d5_z,d6_z,d1_h,d2_h,d3_h,d4_h,d5_h,d6_h,mass,modal_frequency_1,modal_frequency_2,modal_frequency_3,bend_stress,tor_stress,steer_stress,brake_stress,bend_stiffness,tor_stiffness,life,bend_disp,tor_disp,steer_disp,brake_disp,source
1,1,2,2,1,1,2,2,2,1,2,1,2,15.025257778409662,13.104556499856644,13.762845033126684,15.34429495926654,18.37659397748025,9.566258238056543,15.022623715742146,12.089820936601999,17.00495218887726,14.23258146336028,14.589483550180573,12.680284784057486,14.712777126815617,14.556431518393957,12.975448102256745,14.856801448750325,13.713187036256354,13.257988045473187,17.229066637734263,16.644011742346297,14.322778162626255,9.958988834187338,11.308479974710398,13.346704479655363,16.160898219241485,11.93530691810212,13.389254403589876,-0.4499626216191622,0.32750950755619423,-21.732909386538083,55,40,56,55,59,56,32,33,4,6,8,6,6,2,5,7,9,6,6,6,15.704182680116702,13.34800219262668,11.891084006807064,14.0422188398805,14.930353312739786,14.864594320435408,13.901902920555235,16.77575890638408,15.1932728617275,13.648924307429313,12.970481832923383,16.598942267627642,0.4845914624958979,10.18478812631413,14.240010562275675,17.203494147821722,111.5947978839319,229.02008244847661,141.62352171849636,152.44489045413937,1606.8753636896297,469584.116500027,246347557.17622042,4.085973458459156,11.382296679794973,4.420477273093462,3.31758067569388,1
2,1,1,1,1,1,2,1,2,1,1,1,1,13.822918912823035,10.407090442760607,13.20875978999208,13.070665415969236,11.928816861517468,11.369908450887305,7.939546787008916,13.850981973889029,9.523255173764625,13.164814136071538,13.203885663654031,12.42371922358907,14.821090256084636,11.70575159674363,18.130363178115324,19.193731810974178,7.761738449339843,14.5507753693358,18.515833867983314,16.308488843763477,15.619476085153984,12.271020464196638,11.744856377799426,13.748666037874278,9.458437866002305,11.06173424824747,10.079887496634726,-1.5749166046458452,1.396266831182373,12.709010419207692,54,37,53,58,44,57,34,35,3,8,8,6,3,5,6,8,6,5,4,5,12.021475863929457,13.161644883661248,12.404319022906986,11.79510804549777,14.735625703077694,13.949240373699663,13.56519601003715,13.94434464558078,14.759576889060398,12.787773060340024,16.50462088982667,11.955621836203708,0.41344008498545803,10.361640013922397,14.622901500789634,20.506209694467536,110.92443315060375,169.21859068331156,145.0866655381741,165.66881768861703,1618.7055339074009,651854.5728361775,21508478.047224924,3.510795070836055,14.064299076497948,2.728709787748297,4.25413304503934,1
1,2,2,1,2,1,1,2,2,2,2,1,1,14.282049683210147,12.67118764937178,8.209805373603654,16.651727517723753,15.253786709613532,9.036702327410843,14.273232361154466,14.796136690529378,10.427321243016273,10.893110559153833,10.960056755770673,10.374755830259772,14.05120688552163,11.854656613390652,12.848041132308552,12.786562352780333,13.103595008732713,13.307116277161903,17.87277962356065,21.6610970837084,15.465350140765617,14.00996347099338,7.663375486802985,13.955252524236812,10.796198387371303,10.21437821070728,11.370840397776808,-1.4265784521191849,-0.855034367021099,3.2802115788360116,51,41,50,59,71,37,35,32,3,7,8,6,6,3,6,6,6,8,7,5,16.81246406272883,13.658046986249898,15.8908317909509,16.34694165081548,15.462748402811902,12.790713416846934,10.50477723780045,13.940998349396875,13.474783317363265,15.41775754687685,13.105325002366492,13.90939799609342,0.41598096586953187,9.498830238838373,14.083822102476843,17.987048690862945,93.83120515589269,152.94401345973426,137.0066360975941,151.02395028778372,1739.7666887174178,783665.2840302844,939056235.7209604,4.366486024269518,14.442056734653852,3.508210588391875,4.094771978906241,1
1,1,1,2,1,2,1,2,2,1,1,1,2,9.937285973515937,15.657551530292613,10.314371706387016,11.676726449067871,12.167878768510468,13.385630099989221,11.619776237491731,11.155430359182734,15.572955299689363,14.337291725990527,13.06189535451288,10.501123705109096,19.31905095643703,16.2881544723075,12.372178142762062,12.888616313511157,15.618079516779666,13.20691745388689,18.537621537351825,15.519064053533098,15.675693690925387,12.043589419439966,12.966816728745728,10.476799591049902,10.957186078774729,12.976547801661063,10.586506364334747,2.1529736900392287,-5.22999992238108,8.110207344662694,49,50,40,36,49,52,34,32,3,7,10,6,5,4,6,4,7,7,8,4,11.34624291029876,12.726117186675912,15.288206939844176,17.89558027641299,13.63717841494,13.965280839994303,12.778928721114887,15.06016783418923,13.749870469884515,15.346397103111967,14.945515580862349,11.792538510787637,0.4553779976890965,9.30723987721177,14.65811069307464,18.70609690897266,126.1953394078492,202.6579274278826,114.87565042147104,145.9810583398392,1871.0436969491202,685598.7257873483,89739671.95829023,3.9321009842377412,11.12417853357613,3.313309087238093,3.9132370742009392,1
1,2,2,1,1,2,1,2,2,1,2,2,2,16.615905069758824,9.070404909215096,14.57798820765944,8.840118394849249,10.546846178859097,11.003977671360923,11.310052920597714,13.327501446994358,11.946728912714494,16.21255644885097,12.035489320494055,10.812042435548168,10.912713801667202,18.888369720005162,15.481522783552322,9.33000353798322,15.107590276505864,15.55215586035636,12.871848870157006,14.897571548393227,15.783294157612403,11.291698933191332,11.113884540716404,13.518791655290773,15.772318525894066,7.2656258988600575,12.968078714350442,-2.01192769339027,6.6669192026671755,-24.844274505629137,63,44,44,49,55,37,33,33,4,7,8,6,6,4,6,8,7,7,4,6,14.147324806684233,15.947677192343082,14.753256672307028,16.738726283938416,16.263631928436755,16.087282025810318,11.80576024071926,12.408145798039872,13.628141863205855,14.465780113592318,15.240396076940662,15.132278033612836,0.40106092227731827,10.286829513474864,14.022604889635502,16.971090958153205,102.50756682097007,195.63955929886419,112.67329735959302,134.876805929387,1682.0448152733798,590383.7632141411,30020690.678170368,3.5491290847142523,10.397313451488294,3.5281950950952354,2.826724174244405,1
1,1,2,1,2,2,1,2,2,1,2,1,2,11.827738964731957,6.861047024329004,10.801332255882505,10.66508541131496,12.209602126532996,12.528700345211574,10.783408830684174,13.35640303630168,12.992606375125625,18.045770924150055,12.586096057652819,14.075072165645766,14.791227239192242,8.90038038129956,13.492083281565307,16.54947704034483,11.184240365605124,14.26034220958241,20.80562516933354,16.76111145370395,13.078528512238957,14.333241278535606,9.799843805623478,11.047244879882415,10.458632574409119,11.759703495753968,10.698804028686514,4.36981914469645,-5.196341270983764,-8.721900767148748,60,48,55,42,50,36,34,33,4,7,7,5,7,3,5,8,8,8,8,4,14.163952968960519,16.536920257847537,15.692060889202002,18.13806497894794,14.766369984633394,13.209628530982098,13.880433889660408,12.435456283952158,15.036661847372336,16.925115168378174,12.811271528384246,13.327627969949752,0.4083784439946789,9.614231165652221,13.105027047596698,17.56327479827633,138.8182850163003,207.44890308719826,128.06669337532267,129.96829188342662,1586.4141178821071,692776.8191511651,546045980.11791,4.334943966717919,13.558876095999192,3.6779578828854413,2.968992444132722,1
2,2,1,1,2,1,1,2,2,2,2,2,2,10.862421031747123,14.005592111809417,9.53458834656277,10.749423504776043,15.288284790411346,18.029703496366317,11.92234534437575,11.504521746635277,13.389612230241951,12.93797813183738,15.99683714683642,14.847537575218777,8.752950318731912,6.3741008686414,15.374408541614194,12.551781204762161,13.27097911057399,13.44876459349262,18.469861762785616,13.508489788294371,17.648511175079665,13.493321112522866,11.38392037231505,11.561564851296612,13.536109489267771,12.675116920875503,10.603000193536294,-5.1101041704506915,-2.1519976277519595,11.316811176420323,52,52,34,60,36,31,35,34,4,5,7,7,5,3,4,9,8,8,5,5,14.806418457544178,16.57797561506685,15.668133371134335,15.58542166767817,12.912812128880992,15.705624105717387,11.365336932340268,16.569707904545865,13.0224606561866,14.429763043790885,12.719136032327823,12.844316274562289,0.4234375478085466,9.987286840194857,13.871511218389177,18.291454659731645,113.47630747100855,198.90730241050792,76.58299499300625,146.40110372584002,1853.6200398388314,582339.5805358207,12668653.071257383,5.380000481069572,15.423006525465931,4.1603723638461085,4.098287088806723,1
2,2,1,1,1,2,1,2,2,1,1,1,1,15.67919980156109,10.858506595958206,13.08021848153194,12.413609279480886,13.360561004689172,16.081648600577164,14.64253160098742,11.068669926487829,11.360927763791558,16.20374790292716,9.413933223329078,12.264146607817048,14.401394958048156,13.301786770961389,6.190087232885545,12.333998761035378,10.996156515622488,15.078523740259605,16.80081382926772,15.733924036819646,19.149546861192572,10.286465975280146,11.859584338238358,14.223789418186906,12.151100240300424,14.403810595410315,15.39637996065607,-5.473072387491989,-0.7413010656240814,8.01085298797485,53,57,55,75,48,41,34,34,5,6,6,5,7,4,4,8,7,5,5,3,13.92814153184163,14.252010328250634,15.038824512374736,13.885227684198814,15.49647283256645,13.7405314684644,11.657625040256006,15.36278946999739,14.862838511782702,17.795864419129277,14.03998718035082,12.833490692232587,0.4264771918969257,9.716639478081875,14.016862055310886,15.054508871136317,106.60033593469315,205.28739276505823,151.95429269506405,152.61003740051294,1335.6340048718448,709418.2602038836,196143653.33111334,4.399459243433932,13.136391541611887,3.4602877745628735,4.849613457118659,1
2,2,1,1,2,1,2,1,1,2,2,2,2,12.572605984586234,11.800882820806132,11.92512181325633,12.009373481637597,10.686474314536966,15.626528840958207,10.242370027534903,14.005968769086039,12.55287095026784,14.457049281254228,15.383565238803767,11.661120239240969,12.711231895600429,17.069562302706743,13.736297230825663,9.828897124327659,12.865850770541893,9.939228775013609,18.229465661750606,18.626492224282007,16.292898134438385,13.601807065701664,9.190793299119559,12.505338370007596,13.472042499280434,11.336313069189503,12.048259635633483,6.77569735165134,9.91898696113254,16.52974944288479,45,64,41,64,50,42,34,34,2,8,7,7,7,3,7,5,8,6,7,5,16.284067744082726,14.931720790480226,14.458288324972695,12.696185635197311,16.65663867018023,14.534968083632826,13.098248239631936,12.843036677943086,13.052913983934896,11.341937659731919,14.182941400582482,13.19325489779702,0.49935337177905864,9.742167294670221,14.066652932498934,17.628475875921264,123.1921125766415,210.58433549015456,153.33992329186427,143.78982476139765,1932.4923466251566,608376.4578684343,1331451554.154894,4.258569618757734,12.552916681581687,4.458924406228524,3.539454066964735,1
1,1,2,1,2,1,1,1,1,2,2,1,2,11.223531586730525,13.043128182727635,12.345100914500785,16.94982166314554,13.651079974377243,10.88341095183119,11.312684154386599,18.397928894735216,15.752434776346323,13.614930216164813,16.082738512982758,13.215292742353984,16.45502825593637,17.890293537879447,11.675535802221775,13.411727607286737,16.246674740607695,10.912747749082147,13.38417251991996,17.633879575876968,17.66808099504888,13.0560686756781,13.316952288878841,11.327365975640875,11.605485121301829,14.774212739181092,11.29555602429768,-1.887957854755428,-3.1044893386069923,4.73512790289464,39,61,51,43,49,58,35,33,3,6,6,5,5,3,6,7,7,7,7,6,12.759849065722086,16.477767433524246,15.39304300391541,12.716351612868332,17.310214888554643,13.062995921905708,9.620375636009417,14.833002014582028,14.919264157549652,11.626989934315782,11.688854918303,12.237839162738357,0.4208793403305792,9.618744954556224,14.166137488530145,17.947877548585602,135.01837876924768,159.60954463559543,116.1532539512283,154.65305574626547,1784.7474708731236,599789.6296641626,850508379.2007235,4.73850424629721,13.012865805392172,3.3851840393760404,4.753406260131251,1
