m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,sh1,sh2,sh3,s1_z,s2_z,s3_z,s4_z,s5_z,s6_z,s1_h,s6_h,n1_z,n2_z,n3_z,n4_z,n5_z,n6_z,n1_h,n2_h,n3_h,n4_h,n5_h,n6_h,d1_z,d2_z,d3_z,d4_z,d5_z,d6_z,d1_h,d2_h,d3_h,d4_h,d5_h,d6_h,mass,modal_frequency_1,modal_frequency_2,modal_frequency_3,bend_stress,tor_stress,steer_stress,brake_stress,bend_stiffness,tor_stiffness,life,bend_disp,tor_disp,steer_disp,brake_disp,source
1,2,1,2,2,1,2,1,2,1,1,1,2,11.639042163995327,16.033392624842236,14.288544317270862,9.22321446952992,13.5479142240074,12.2294446596934,11.426608563429909,11.352603362087391,14.282035069336416,13.378128980199108,14.5614606035233,10.314360904187197,16.68101181954262,11.967352399980882,10.970662459760206,16.879796352382982,13.73568335993332,9.956756733270597,16.39958201677655,19.361152572237188,14.432328105234774,11.357466647452384,12.833924710073916,9.358065185479065,9.486105970885546,14.2279638500695,9.072639686892217,-0.6558950744620233,6.035359799370781,13.525042534140084,43,45,37,57,60,44,34,33,3,7,9,6,6,4,4,5,6,6,6,4,14.5,16.5,12.5,16.5,16.5,14.5,12.5,14.5,12.5,12.5,12.5,16.5,0.447676,9.853708973955314,15.54851998404656,19.71423916308329,100.81723735643088,156.1863839412866,105.08779907226562,130.05761282821413,2142.7176044502758,674079.8956832633,119704830.0,4.13033467996404,11.855300153928743,3.775625079300547,3.1642410261015823,0
2,2,1,1,1,2,1,2,1,2,1,2,2,15.84791325579863,9.31221344822552,13.46273806958925,16.349424479878508,14.707468397798948,16.815075627877377,13.900949333678,15.19529146736022,10.60224460985046,12.147321508615278,13.880888826097362,10.178438054746948,13.662060331436804,11.687718580826186,10.3275829636259,11.994003650150262,13.2829617242096,16.869805758236907,15.9330793422414,13.013053870177828,13.31972755480092,10.643469593982443,13.82836410557502,13.39598691862193,10.379190714476865,14.457145544729428,13.819259549636628,3.85958050195768,-8.045806659167283,-1.085299647427746,36,55,45,43,38,53,35,32,3,6,8,7,6,3,6,6,8,8,5,4,16.5,16.5,12.5,16.5,12.5,16.5,10.5,16.5,16.5,14.5,16.5,12.5,0.364284,10.720605610697351,14.061616155561651,18.07361244915633,153.58490925251445,239.03643105430075,215.2418670654297,187.16428788040733,1425.455886458681,594173.6710423396,22525.0,6.221970735047635,17.125329556395858,5.641688270706776,5.015099539554354,0
1,1,1,1,1,1,1,1,2,2,2,1,2,15.984377008804586,13.95762569521321,15.86449770949548,16.465735891077202,12.701653500960674,15.327356597117614,16.965358902176376,16.492382032971364,14.92304079135647,13.356963771104349,13.88423434406286,13.718621286738198,10.303040079714265,15.204298674769234,10.903514868055936,13.854106791492086,13.538568184652831,13.897982266440522,14.390395841968711,13.874799517157951,13.80700686009368,10.725816815407596,9.361863809011991,11.090208986439391,14.449331661875476,12.755586397848674,13.17112251285289,-4.342476478523167,-1.0538882768087203,-13.866753318587143,39,54,54,61,61,66,35,36,5,6,7,5,6,3,6,5,8,8,8,6,16.5,12.5,14.5,16.5,14.5,16.5,10.5,16.5,14.5,14.5,16.5,14.5,0.365708,10.888660009600406,14.238894426924675,16.74599745568942,159.54211930174296,243.06092997956043,172.73666381835938,201.48876610230667,1285.2320095587067,599104.4913989373,162146.0,6.800468799576903,18.290674847237607,5.570652147648975,5.421109441029663,0
2,2,2,2,2,1,2,1,1,1,2,1,2,11.820683050435036,16.69624859234318,11.136197931598872,10.914588665124027,10.93447321234271,12.819760063197464,13.269844725262374,15.426575494464489,14.764074984472243,16.242498652543873,15.74851932330057,16.39839678024873,14.267498086672276,10.663448506500572,13.393070190679282,16.470183519180864,11.856090861838313,14.8490681364201,20.865623868536204,13.507988338824362,13.668466057162732,9.51781449385453,14.54454712907318,9.305256115389057,11.643085579038598,13.99405014992226,10.110518166446129,8.193456684879493,-7.051379199663643,1.0998389045125805,42,59,37,59,52,65,35,34,3,6,8,6,7,3,6,8,6,6,5,6,16.5,14.5,16.5,12.5,12.5,14.5,14.5,14.5,14.5,14.5,12.5,14.5,0.398982,10.280146417236384,15.23376491620138,18.852552949384503,140.25031257813058,222.5684080477896,172.75222778320312,173.4733060716068,1693.9204758133883,613053.5621596889,17460142.0,5.383916276249017,14.738686977743882,4.550099747889015,4.501450974667209,0
2,1,2,1,1,2,2,1,1,1,2,2,2,12.83709552876826,9.789125488707214,13.066322522281553,9.341929044792778,14.31121017706755,12.607521271202131,12.056063584328513,13.76361029453983,10.972411925366032,16.015035739270388,15.591051795097885,13.948797357021247,10.746562907166664,12.580058845094754,11.307266151343356,15.415695457704714,13.132060770803946,11.285537997828214,16.7197473487322,13.34356538693828,15.43319134057674,14.629716183193525,13.058912295135087,11.462116519149276,9.287691299672588,11.042060273044626,9.546679375212989,0.7163818857588922,-0.5515791489960975,-20.23148004468385,65,45,39,55,78,42,36,36,3,6,9,5,5,3,4,6,6,6,6,5,14.5,16.5,14.5,12.5,16.5,16.5,14.5,12.5,12.5,12.5,16.5,12.5,0.364,10.262989255380832,14.794623099239129,17.140269460339034,163.84890058297873,253.7680236028009,177.6886444091797,193.18119308400296,1336.3948821248648,547724.8346785997,862524.0,6.61050568987241,18.289905620771595,5.696889262018759,5.367203405776808,0
1,1,1,1,1,1,1,2,1,1,2,1,2,10.432960083155194,15.390599912992911,14.506651534844424,10.877365626191022,12.4760493216163,16.249776805314468,9.27780418159091,9.081019773409936,10.908907376608113,13.82458149458398,16.076859111111844,11.86160045748693,16.903341894882033,16.77570321553503,9.190126876957947,16.68802922058967,16.85603883434669,14.923134868062334,19.031246905360604,15.10117470266414,15.60618331367732,13.683325136451458,12.137453426599675,10.258633194454887,10.894961713631346,13.6336174970711,9.490595374365512,-5.310013514794264,0.6894772064879362,-9.431589766998512,40,41,52,44,44,44,32,32,3,7,8,6,7,4,4,6,6,5,6,6,12.5,12.5,14.5,14.5,14.5,14.5,14.5,12.5,12.5,12.5,14.5,14.5,0.390386,9.92847622358524,14.88176750685111,18.080643003743734,140.00164639145345,224.8831295106142,137.14645385742188,171.82250732325804,1552.1274824486084,569179.8711276769,119045.0,5.520944191780268,16.220990792503923,4.843412576703069,4.6688630823793,0
2,2,1,1,2,1,2,1,1,2,2,2,1,16.763453981126077,15.190502100798769,13.365887915657368,12.707234954170415,10.660479370912071,16.551364122133236,16.627281605207827,15.73072788369609,11.764146139321385,10.508841502654832,13.85222274804255,12.008246913261246,10.770315310393926,11.301579080696683,10.20289915887406,16.99633048166288,15.69358215428656,14.681599837902468,16.43231515021762,17.912728422961663,20.827743448724505,13.762617712505744,13.3074294647231,12.322183677009887,9.902899744993192,9.906761643840582,12.636975430839811,6.379937525685818,0.748144630510069,9.37350079096359,47,46,43,56,60,39,34,36,3,7,7,6,5,4,6,6,8,6,6,5,16.5,14.5,16.5,14.5,12.5,16.5,12.5,12.5,14.5,14.5,14.5,16.5,0.453932,10.153959433162854,15.655740376945618,19.687799817702583,101.60435541501737,161.03823444758532,132.0425567626953,124.90824525516908,2269.532518804905,717832.2583620343,2656420.0,4.148620291644387,11.095962680879378,3.4809705083844573,3.2117082983036824,0
1,2,1,2,1,2,2,1,1,1,1,2,1,14.411277443985457,9.504670609137976,14.62283082853537,14.5202554439893,12.986136677558534,14.27445050922688,14.39571271080058,12.499114117934369,10.733956877957098,12.230557002476417,15.222973072784953,15.251776353805326,15.863768673385492,11.49108024162706,14.75506023678463,15.807034056051634,9.785095550934784,13.345519986352883,14.219197122263722,15.0511849274626,13.938154051895252,9.24574618486804,14.544852096500108,14.732761412422406,10.954856881551676,11.587920975201996,10.229595669923585,-5.343276714978856,3.7043035212991526,-1.8506126325955847,47,41,37,57,47,44,34,34,3,8,8,6,6,4,5,5,8,6,6,6,14.5,14.5,16.5,16.5,16.5,12.5,12.5,12.5,12.5,14.5,14.5,12.5,0.384635,10.576690840812343,14.82599339786591,18.27685797603901,140.77358921375784,211.41008000519903,148.94595336914062,176.57705232405144,1556.2425750980035,621291.4246906216,21422.0,5.450038767490402,16.06113418713987,5.019342576852501,4.5420265525885775,0
1,1,2,1,2,2,1,1,1,2,1,2,1,16.00818596847239,13.685680903116008,16.063032755599124,13.793951397616183,14.953023375215707,10.957008713943653,13.884082055155886,11.008335609309142,15.34883887480828,15.285454962955557,15.241975720011396,9.441889042820549,9.299295077304125,15.554490781476488,11.272437937062932,11.57796590900398,9.059282543807058,16.051432134205243,19.33769245070289,20.912545159313595,16.566200304048834,11.750108367828943,10.678622251703928,9.440213574802328,13.480990757037944,11.192503004283935,10.975967241196486,-7.681190540741227,-5.148053571614582,-18.78962535955725,41,42,46,59,48,45,32,34,3,8,8,5,6,3,6,6,8,5,8,5,12.5,16.5,16.5,16.5,14.5,16.5,12.5,14.5,14.5,14.5,12.5,12.5,0.44333,10.376316597842925,15.091918455962125,17.294058245583496,114.04234311150464,175.79933006990686,99.5162353515625,144.2278149659886,1680.4196898766306,716495.6405797686,103923422.0,4.966102817756751,14.184468476077868,4.468324048386839,3.970803979618751,0
1,1,1,2,2,2,1,2,1,1,2,2,2,12.88648758266936,16.819508766609943,12.797519357147394,9.451999152166536,13.228911107842578,14.930986274353929,10.762724676838843,12.211073700891577,12.478654767357511,14.618894661631202,16.468293050507782,10.211419886996737,16.63972888092394,13.254893803357843,13.345018359570531,9.291745276743312,9.190690200746758,10.713502690050518,20.20737482907134,18.649832982657244,19.077592350979103,11.183302781319073,9.239599135507888,13.145814633877308,10.06303911444411,9.907119761810463,13.010400940816908,0.2990405357668351,1.0244150423641258,19.39134723209645,45,46,47,65,39,65,33,33,3,7,8,5,5,3,6,8,8,8,8,5,12.5,12.5,12.5,16.5,16.5,12.5,12.5,16.5,12.5,14.5,16.5,16.5,0.465139,10.014877578033044,14.785316971056227,20.355938787619827,94.6600860979493,148.7403686735787,112.4107894897461,116.62978375577384,2455.790764302249,721510.0947309182,36886138.0,3.6923460924145366,10.633901693648667,3.5052601700727144,3.0680813819683017,0
